"","X.1","X","Date","Water_Year","Acre_Feet","Million_Acre_Feet","Upper_Basin_Supply","Ten_Year_Average","UB_10yr_Avg","Upper_Basin_Use","Lower_Basin_Supply","LB_10yr_Avg"
"34",34,34,"1939-01-01",1939,11699708,11.699708,3.449708,13.1258893,4.8758893,NA,NA,NA
"35",35,35,"1940-01-01",1940,9422918,9.422918,1.172918,12.555124,4.305124,NA,NA,NA
"36",36,36,"1941-01-01",1941,18269619,18.269619,10.019619,13.4952177,5.2452177,NA,NA,NA
"37",37,37,"1942-01-01",1942,19333147,19.333147,11.083147,13.6475815,5.3975815,NA,NA,NA
"38",38,38,"1943-01-01",1943,13613558,13.613558,5.363558,13.7776629,5.5276629,NA,NA,NA
"39",39,39,"1944-01-01",1944,15422647,15.422647,7.172647,14.6609576,6.4109576,NA,NA,NA
"40",40,40,"1945-01-01",1945,14040218,14.040218,5.790218,14.8400854,6.5900854,NA,NA,NA
"41",41,41,"1946-01-01",1946,11000258,11.000258,2.750258,14.487968,6.237968,NA,NA,NA
"42",42,42,"1947-01-01",1947,15851265,15.851265,7.601265,14.6571791,6.4071791,NA,NA,NA
"43",43,43,"1948-01-01",1948,15761665,15.761665,7.511665,14.4415003,6.1915003,NA,NA,NA
"44",44,44,"1949-01-01",1949,16733517,16.733517,8.483517,14.9448812,6.6948812,NA,NA,NA
"45",45,45,"1950-01-01",1950,13111501,13.111501,4.861501,15.3137395,7.0637395,NA,NA,NA
"46",46,46,"1951-01-01",1951,12445707,12.445707,4.195707,14.7313483,6.4813483,NA,NA,NA
"47",47,47,"1952-01-01",1952,20850053,20.850053,12.600053,14.8830389,6.6330389,NA,NA,NA
"48",48,48,"1953-01-01",1953,11154855,11.154855,2.904855,14.6371686,6.3871686,NA,NA,NA
"49",49,49,"1954-01-01",1954,8304000,8.304,0.0540000000000003,13.9253039,5.6753039,NA,NA,NA
"50",50,50,"1955-01-01",1955,9709235,9.709235,1.459235,13.4922056,5.2422056,NA,NA,NA
"51",51,51,"1956-01-01",1956,11622348,11.622348,3.372348,13.5544146,5.3044146,NA,NA,NA
"52",52,52,"1957-01-01",1957,20211418,20.211418,11.961418,13.9904299,5.7404299,NA,NA,NA
"53",53,53,"1958-01-01",1958,16870816,16.870816,8.620816,14.101345,5.851345,NA,NA,NA
"54",54,54,"1959-01-01",1959,9245100,9.2451,0.995100000000001,13.3525033,5.1025033,NA,NA,NA
"55",55,55,"1960-01-01",1960,11977277,11.977277,3.727277,13.2390809,4.9890809,NA,NA,NA
"56",56,56,"1961-01-01",1961,9199061,9.199061,0.949061,12.9144163,4.6644163,NA,NA,NA
"57",57,57,"1962-01-01",1962,17760809,17.760809,9.510809,12.6054919,4.3554919,NA,NA,NA
"58",58,58,"1963-01-01",1963,9115209,9.115209,0.865209,12.4015273,4.1515273,NA,NA,NA
"59",59,59,"1964-01-01",1964,10381353,10.381353,2.131353,12.6092626,4.3592626,NA,NA,NA
"60",60,60,"1965-01-01",1965,18358969,18.358969,10.108969,13.474236,5.224236,NA,NA,NA
"61",61,61,"1966-01-01",1966,11060726,11.060726,2.810726,13.4180738,5.1680738,NA,NA,NA
"62",62,62,"1967-01-01",1967,11708544,11.708544,3.458544,12.5677864,4.3177864,NA,NA,NA
"63",63,63,"1968-01-01",1968,13338625,13.338625,5.088625,12.2145673,3.9645673,NA,NA,NA
"64",64,64,"1969-01-01",1969,14452503,14.452503,6.202503,12.7353076,4.4853076,NA,NA,NA
"65",65,65,"1970-01-01",1970,15055808,15.055808,6.805808,13.0431607,4.7931607,NA,NA,NA
"66",66,66,"1971-01-01",1971,14728422,14.728422,6.478422,13.5960968,5.3460968,3.35468374591664,10.6237382540834,NA
"67",67,66,"1971-01-01",1971,14728422,14.728422,6.478422,13.5960968,5.3460968,3.35468374591664,10.6237382540834,NA
"68",68,67,"1972-01-01",1972,12436437,12.436437,4.186437,13.0636596,4.8136596,3.72222181541539,7.96421518458461,NA
"69",69,67,"1972-01-01",1972,12436437,12.436437,4.186437,13.0636596,4.8136596,3.72222181541539,7.96421518458461,NA
"70",70,68,"1973-01-01",1973,19137698,19.137698,10.887698,14.0659085,5.8159085,3.66655538243294,14.7211426175671,NA
"71",71,68,"1973-01-01",1973,19137698,19.137698,10.887698,14.0659085,5.8159085,3.66655538243294,14.7211426175671,NA
"72",72,69,"1974-01-01",1974,12956069,12.956069,4.706069,14.3233801,6.0733801,4.00938068976956,8.19668831023044,NA
"73",73,69,"1974-01-01",1974,12956069,12.956069,4.706069,14.3233801,6.0733801,4.00938068976956,8.19668831023044,NA
"74",74,70,"1975-01-01",1975,16530990,16.53099,8.28099,14.1405822,5.8905822,3.87174891168183,11.9092410883182,NA
"75",75,70,"1975-01-01",1975,16530990,16.53099,8.28099,14.1405822,5.8905822,3.87174891168183,11.9092410883182,10.6830050909567
"76",76,71,"1976-01-01",1976,11205891,11.205891,2.955891,14.1550987,5.9050987,3.73999694332633,6.71589405667367,10.2922206712158
"77",77,71,"1976-01-01",1976,11205891,11.205891,2.955891,14.1550987,5.9050987,3.73999694332633,6.71589405667367,9.9014362514748
"78",78,72,"1977-01-01",1977,5520257,5.520257,-2.729743,13.53627,5.28627,3.16131257701435,1.60894442298565,9.26590917531491
"79",79,72,"1977-01-01",1977,5520257,5.520257,-2.729743,13.53627,5.28627,3.16131257701435,1.60894442298565,8.63038209915501
"80",80,73,"1978-01-01",1978,14854159,14.854159,6.604159,13.6878234,5.4378234,3.96259753315123,10.1415614668488,8.17242398408318
"81",81,73,"1978-01-01",1978,14854159,14.854159,6.604159,13.6878234,5.4378234,3.96259753315123,10.1415614668488,7.71446586901135
"82",82,74,"1979-01-01",1979,17549866,17.549866,9.299866,13.9975597,5.7475597,4.0869136036406,12.7129523963594,8.16609227762425
"83",83,74,"1979-01-01",1979,17549866,17.549866,9.299866,13.9975597,5.7475597,4.0869136036406,12.7129523963594,8.61771868623714
"84",84,75,"1980-01-01",1980,17265630,17.26563,9.01563,14.2185419,5.9685419,4.06628625789362,12.4493437421064,8.67172895161596
"85",85,75,"1980-01-01",1980,17265630,17.26563,9.01563,14.2185419,5.9685419,4.06628625789362,12.4493437421064,8.72573921699478
"86",86,76,"1981-01-01",1981,8680916,8.680916,0.430916,13.6137913,5.3637913,4.12073195169687,3.81018404830313,8.43516821615773
"87",87,76,"1981-01-01",1981,8680916,8.680916,0.430916,13.6137913,5.3637913,4.12073195169687,3.81018404830313,8.14459721532068
"88",88,77,"1982-01-01",1982,16668369,16.668369,8.418369,14.0369845,5.7869845,4.17208463048934,11.7462843695107,9.15833120997318
"89",89,77,"1982-01-01",1982,16668369,16.668369,8.418369,14.0369845,5.7869845,4.17208463048934,11.7462843695107,10.1720652046257
"90",90,78,"1983-01-01",1983,23703256,23.703256,15.453256,14.4935403,6.2435403,4.03681873707523,18.9164372629248,11.0495527842333
"91",91,78,"1983-01-01",1983,23703256,23.703256,15.453256,14.4935403,6.2435403,4.03681873707523,18.9164372629248,11.9270403638409
"92",92,79,"1984-01-01",1984,24180594,24.180594,15.930594,15.6159928,7.3659928,4.06267124703314,19.3679227529669,12.5925373995016
"93",93,79,"1984-01-01",1984,24180594,24.180594,15.930594,15.6159928,7.3659928,4.06267124703314,19.3679227529669,13.2580344351624
"94",94,80,"1985-01-01",1985,21060146,21.060146,12.810146,16.0689084,7.8189084,4.24467633170848,16.0654696682915,13.6196470277809
"95",95,80,"1985-01-01",1985,21060146,21.060146,12.810146,16.0689084,7.8189084,4.24467633170848,16.0654696682915,13.9812596203994
"96",96,81,"1986-01-01",1986,22363869,22.363869,14.113869,17.1847062,8.9347062,4.22516503338224,17.3887039666178,15.3391116122309
"97",97,81,"1986-01-01",1986,22363869,22.363869,14.113869,17.1847062,8.9347062,4.22516503338224,17.3887039666178,16.6969636040623
"98",98,82,"1987-01-01",1987,16608819,16.608819,8.358819,18.2935624,10.0435624,4.25982249433771,11.5989965056623,16.6822348176775
"99",99,82,"1987-01-01",1987,16608819,16.608819,8.358819,18.2935624,10.0435624,4.25982249433771,11.5989965056623,16.6675060312927
"100",100,83,"1988-01-01",1988,11680769,11.680769,3.430769,17.9762234,9.7262234,4.5993502762675,6.3314187237325,15.4090041773734
"101",101,83,"1988-01-01",1988,11680769,11.680769,3.430769,17.9762234,9.7262234,4.5993502762675,6.3314187237325,14.1505023234542
"102",102,84,"1989-01-01",1989,9597872,9.597872,1.347872,17.181024,8.931024,4.7568781025894,4.0909938974106,12.6228094378986
"103",103,84,"1989-01-01",1989,9597872,9.597872,1.347872,17.181024,8.931024,4.7568781025894,4.0909938974106,11.0951165523429
"104",104,85,"1990-01-01",1990,9002498,9.002498,0.752497999999999,16.3547108,8.1047108,4.51090624318271,3.74159175681729,9.86272876119552
"105",105,85,"1990-01-01",1990,9002498,9.002498,0.752497999999999,16.3547108,8.1047108,4.51090624318271,3.74159175681729,8.6303409700481
"106",106,86,"1991-01-01",1991,12345740,12.34574,4.09574,16.7211932,8.4711932,4.02833608483495,7.56740391516505,7.64821096490282
"107",107,86,"1991-01-01",1991,12345740,12.34574,4.09574,16.7211932,8.4711932,4.02833608483495,7.56740391516505,6.66608095975755
"108",108,87,"1992-01-01",1992,11095606,11.095606,2.845606,16.1639169,7.9139169,3.94947391115685,6.39613208884315,6.14579451807563
"109",109,87,"1992-01-01",1992,11095606,11.095606,2.845606,16.1639169,7.9139169,3.94947391115685,6.39613208884315,5.62550807639372
"110",110,88,"1993-01-01",1993,18627097,18.627097,10.377097,15.656301,7.406301,4.16067196817805,13.7164250318219,6.36400870720266
"111",111,88,"1993-01-01",1993,18627097,18.627097,10.377097,15.656301,7.406301,4.16067196817805,13.7164250318219,7.1025093380116
"112",112,89,"1994-01-01",1994,10643272,10.643272,2.393272,14.3025688,6.0525688,4.41564317304685,5.47762882695315,7.24117283096585
"113",113,89,"1994-01-01",1994,10643272,10.643272,2.393272,14.3025688,6.0525688,4.41564317304685,5.47762882695315,7.37983632392011
"114",114,90,"1995-01-01",1995,19799590,19.79959,11.54959,14.1765132,5.9265132,3.76018802111265,15.2894019788873,8.53461734612711
"115",115,90,"1995-01-01",1995,19799590,19.79959,11.54959,14.1765132,5.9265132,3.76018802111265,15.2894019788873,9.68939836833411
"116",116,91,"1996-01-01",1996,14065400,14.0654,5.8154,13.3466663,5.0966663,4.6792976524271,8.6361023475729,9.7962682115749
"117",117,91,"1996-01-01",1996,14065400,14.0654,5.8154,13.3466663,5.0966663,4.6792976524271,8.6361023475729,9.90313805481568
"118",118,92,"1997-01-01",1997,21149651,21.149651,12.899651,13.8007495,5.5507495,3.9877346708863,16.4119163291137,10.9047164788427
"119",119,92,"1997-01-01",1997,21149651,21.149651,12.899651,13.8007495,5.5507495,3.9877346708863,16.4119163291137,11.9062949028698
"120",120,93,"1998-01-01",1998,16967544,16.967544,8.717544,14.329427,6.079427,4.31131375635934,11.9062302436407,11.7252754240517
"121",121,93,"1998-01-01",1998,16967544,16.967544,8.717544,14.329427,6.079427,4.31131375635934,11.9062302436407,11.5442559452335
"122",122,94,"1999-01-01",1999,16432765,16.432765,8.182765,15.0129163,6.7629163,4.14040197154373,11.5423630284563,12.1507293653839
"123",123,94,"1999-01-01",1999,16432765,16.432765,8.182765,15.0129163,6.7629163,4.14040197154373,11.5423630284563,12.7572027855342
"124",124,95,"2000-01-01",2000,10561407,10.561407,2.311407,15.1688072,6.9188072,5.07536272769445,4.73604427230555,11.701867014876
"125",125,95,"2000-01-01",2000,10561407,10.561407,2.311407,15.1688072,6.9188072,5.07536272769445,4.73604427230555,10.6465312442178
"126",126,96,"2001-01-01",2001,11039634,11.039634,2.789634,15.0381966,6.7881966,4.77615300331773,5.51348099668227,10.3342691091288
"127",127,96,"2001-01-01",2001,11039634,11.039634,2.789634,15.0381966,6.7881966,4.77615300331773,5.51348099668227,10.0220069740397
"128",128,97,"2002-01-01",2002,5933609,5.933609,-2.316391,14.5219969,6.2719969,4.22172060334788,0.96188839665212,8.47700418079355
"129",129,97,"2002-01-01",2002,5933609,5.933609,-2.316391,14.5219969,6.2719969,4.22172060334788,0.96188839665212,6.93200138754739
"130",130,98,"2003-01-01",2003,10531406,10.531406,2.281406,13.7124278,5.4624278,4.07853742441954,5.70286857558046,6.31166522074136
"131",131,98,"2003-01-01",2003,10531406,10.531406,2.281406,13.7124278,5.4624278,4.07853742441954,5.70286857558046,5.69132905393534
"132",132,99,"2004-01-01",2004,9593965,9.593965,1.343965,13.6074971,5.3574971,4.14468230467498,4.69928269532502,5.00702102062221
"133",133,99,"2004-01-01",2004,9593965,9.593965,1.343965,13.6074971,5.3574971,4.14468230467498,4.69928269532502,4.32271298730908
"134",134,100,"2005-01-01",2005,16892373,16.892373,8.642373,13.3167754,5.0667754,4.24667038520488,11.8957026147951,5.03867882155804
"135",135,100,"2005-01-01",2005,16892373,16.892373,8.642373,13.3167754,5.0667754,4.24667038520488,11.8957026147951,5.75464465580699
"136",136,101,"2006-01-01",2006,12613809,12.613809,4.363809,13.1716163,4.9216163,4.3452093877263,7.5185996122737,5.95515651736614
"137",137,101,"2006-01-01",2006,12613809,12.613809,4.363809,13.1716163,4.9216163,4.3452093877263,7.5185996122737,6.15566837892528
"138",138,102,"2007-01-01",2007,12556011,12.556011,4.306011,12.3122523,4.0622523,4.25652069020038,7.54949030979962,6.81442857024003
"139",139,102,"2007-01-01",2007,12556011,12.556011,4.306011,12.3122523,4.0622523,4.25652069020038,7.54949030979962,7.47318876155478
"140",140,103,"2008-01-01",2008,16210962,16.210962,7.960962,12.2365941,3.9865941,4.50173933304918,10.9592226669508,7.99882417069181
"141",141,103,"2008-01-01",2008,16210962,16.210962,7.960962,12.2365941,3.9865941,4.50173933304918,10.9592226669508,8.52445957982885
"142",142,104,"2009-01-01",2009,14266330,14.26633,6.01633,12.0199506,3.7699506,4.50452156677445,9.01180843322555,8.9557121536189
"143",143,104,"2009-01-01",2009,14266330,14.26633,6.01633,12.0199506,3.7699506,4.50452156677445,9.01180843322555,9.38696472740895
"144",144,105,"2010-01-01",2010,12318773,12.318773,4.068773,12.1956872,3.9456872,4.46762883805718,7.10114416194282,8.90750888212373
"145",145,105,"2010-01-01",2010,12318773,12.318773,4.068773,12.1956872,3.9456872,4.46762883805718,7.10114416194282,8.4280530368385
"146",146,106,"2011-01-01",2011,20158868,20.158868,11.908868,13.1076106,4.8576106,4.38345058888816,15.0254174111118,9.17873481672231
"147",147,106,"2011-01-01",2011,20158868,20.158868,11.908868,13.1076106,4.8576106,4.38345058888816,15.0254174111118,9.92941659660612
"148",148,107,"2012-01-01",2012,8499849,8.499849,0.249848999999999,13.3642346,5.1142346,4.5477633110784,3.2020856889216,9.49467613451832
"149",149,107,"2012-01-01",2012,8499849,8.499849,0.249848999999999,13.3642346,5.1142346,4.5477633110784,3.2020856889216,9.05993567243051
"150",150,108,"2013-01-01",2013,9114932,9.114932,0.864932,13.2225872,4.9725872,3.79612685829743,4.56880514170257,8.42089391990569
"151",151,108,"2013-01-01",2013,9114932,9.114932,0.864932,13.2225872,4.9725872,3.79612685829743,4.56880514170257,7.78185216738087
"152",152,109,"2014-01-01",2014,13982281,13.982281,5.732281,13.6614188,5.4114188,3.81456230053908,9.4177186994609,7.8224431940044
"153",153,109,"2014-01-01",2014,13982281,13.982281,5.732281,13.6614188,5.4114188,3.81456230053908,9.4177186994609,7.86303422062794
"154",154,110,"2015-01-01",2015,13411497,13.411497,5.161497,13.3133312,5.0633312,4.10750111317255,8.55399588682745,8.0083193931164
"155",155,110,"2015-01-01",2015,13411497,13.411497,5.161497,13.3133312,5.0633312,4.10750111317255,8.55399588682745,8.15360456560486
"156",156,111,"2016-01-01",2016,13439430,13.43943,5.18943,13.3958933,5.1458933,4.17511638350297,8.51431361649703,7.50249418614339
"157",157,111,"2016-01-01",2016,13439430,13.43943,5.18943,13.3958933,5.1458933,4.17511638350297,8.51431361649703,6.85138380668191
"158",158,112,"2017-01-01",2017,16396512,16.396512,8.146512,13.7799434,5.5299434,4.6090417459391,11.0374702540609,7.63492226319584
"159",159,112,"2017-01-01",2017,16396512,16.396512,8.146512,13.7799434,5.5299434,4.6090417459391,11.0374702540609,8.41846071970977
"160",160,113,"2018-01-01",2018,8633462,8.633462,0.383462,13.0221934,4.7721934,4.8398067375919,3.0436552624081,8.26594573178032
"161",161,113,"2018-01-01",2018,8633462,8.633462,0.383462,13.0221934,4.7721934,4.8398067375919,3.0436552624081,8.11343074385088
"162",162,114,"2019-01-01",2019,17672049,17.672049,9.422049,13.3627653,5.1127653,4.4350115012705,12.4870374987295,8.42036262377774
"163",163,114,"2019-01-01",2019,17672049,17.672049,9.422049,13.3627653,5.1127653,4.4350115012705,12.4870374987295,8.7272945037046
"164",164,115,"2020-01-01",2020,9887593,9.887593,1.637593,13.1196473,4.8696473,4.79997185603944,4.33762114396056,8.30565702941791
"165",165,115,"2020-01-01",2020,9887593,9.887593,1.637593,13.1196473,4.8696473,4.79997185603944,4.33762114396056,7.88401955513122
"166",166,116,"2021-01-01",2021,7152000,7.152,-1.098,11.8189605,3.5689605,4.0902584902135,2.3117415097865,7.26376234446017
"167",167,116,"2021-01-01",2021,7152000,7.152,-1.098,11.8189605,3.5689605,4.0902584902135,2.3117415097865,6.64350513378911
"168",168,117,"2022-01-01",2022,9851000,9.851,1.601,11.9540756,3.7040756,4.06236596950601,5.03863403049399,6.04362151143242
"169",169,117,"2022-01-01",2022,9851000,9.851,1.601,11.9540756,3.7040756,4.06236596950601,5.03863403049399,5.44373788907573
"170",170,118,"2023-01-01",2023,17408000,17.408,9.158,12.7833824,4.5333824,4.64749001968641,12.0105099803136,6.34042336086628
"171",171,118,"2023-01-01",2023,17408000,17.408,9.158,12.7833824,4.5333824,4.64749001968641,12.0105099803136,7.23710883265683
"172",172,119,"2024-01-01",2024,11875000,11.875,3.625,12.5726543,4.3226543,4.46368296291903,6.66131703708097,6.65453678649198
"173",173,119,"2024-01-01",2024,11875000,11.875,3.625,12.5726543,4.3226543,4.46368296291903,6.66131703708097,6.07196474032712
